SETUP																																																																		
N.SSMU	N.Bathtub	N.season	Timeseries.Yrs	Krill.Rage	Init.Season	Base.Fishing.Option																																																												
9	SOPA	6	N	2970	NA	0.0289	0.0000	0.0000	0.1032	19307	1098	0.3700	0.0000	131401312.9000	15.0000	0.0289	0.0000	0.0000	0.0000	NA	NA	NA	0.0000	0.0000	15.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.4338	0.0083	0.0055	0.0080	0.4930	0.0226	0.0288	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000					
10	SOW	6	N	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA					
11	SONE	6	N	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA					
12	SOSE	6	N	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA					
13	SGPA	6	N	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA					
14	SGW	6	N	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA					
15	SGE	6	N	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA					
																																																																		
SEALS																																																																		
		Rage	init.type	init.value	Jphi	M	Mswitch	Mprop	Ralpha	RSpeak	RRpeak	Rphi	Qq	QQmax	Qk5	M	Mswitch	Mprop	Ralpha	RSpeak	RRpeak	Rphi	Qq	QQmax	Qk5	p1	p2	p3	p4	p5	p6	p7	p8	p9	p10	p11	p12	p13	p14	p15	p16	p17	p18	p1	p2	p3	p4	p5	p6	p7	p8	p9	p10	p11	p12	p13	p14	p15	p16	p17	p18					
SSMU	SSMU	NA	NA	NA	NA	1	1	1	1	1	1	1	1	1	1	2	2	2	2	2	2	2	2	2	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2					
1	APPA	NA	N	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0000	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA					
2	APW	NA	N	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0000	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA					
3	APDPW	4	N	413	0.1000	0.1306	0.0000	0.0000	0.3978	7933	1464	0.3700	0.0000	3507360.0000	20.0000	0.1306	0.0000	0.0000	0.0000	NA	NA	NA	0.0000	2260218.0000	20.0000	0.0000	0.0000	1.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0900	0.0100	0.0000	0.0000	0.0000	0.0100	0.0100	0.0100	0.1600	0.0000	0.0000	0.0000	0.1800	0.0100	0.0100	0.1000	0.3000	0.1000					
4	APDPE	4	N	7	0.1000	0.1306	0.0000	0.0000	0.3978	137	32	0.3700	0.0000	3507360.0000	20.0000	0.1306	0.0000	0.0000	0.0000	NA	NA	NA	0.0000	2260218.0000	20.0000	0.0000	0.0000	0.0000	1.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0900	0.0100	0.0000	0.0000	0.0000	0.0100	0.0100	0.0100	0.1600	0.0000	0.0000	0.0000	0.1800	0.0100	0.0100	0.1000	0.3000	0.1000					
5	APBSW	NA	N	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0000	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA					
6	APBSE	NA	N	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0000	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA					
7	APEI	4	N	34	0.1000	0.1306	0.0000	0.0000	0.3978	651	125	0.3700	0.0000	3507360.0000	20.0000	0.1306	0.0000	0.0000	0.0000	NA	NA	NA	0.0000	2260218.0000	20.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0900	0.0100	0.0000	0.0000	0.0000	0.0100	0.0100	0.0100	0.1600	0.0000	0.0000	0.0000	0.1800	0.0100	0.0100	0.1000	0.3000	0.1000					
8	APE	NA	N	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0000	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA					
9	SOPA	NA	N	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0000	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA					
10	SOW	NA	N	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0000	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA					
11	SONE	NA	N	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0000	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA					
12	SOSE	NA	N	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0000	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA					
13	SGPA	NA	N	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0000	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA					
